Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min Nitrate N + Nitrite N,Min Fecal Coliform,Min Total Coliform
POND,BIHAR,14,6,7.5,237,3,0.05,360,3300
LAKE,CHANDIGARH,16,7.1,7.4,215,0.7,0.52,8,9
LAKE,CHHATTISGARH,23,6.3,7.1,308,7,0.44,1,6
POND,CHHATTISGARH,24,6.5,7.1,322,1.6,0.36,5,1
LAKE,DELHI,-,14.2,8.1,840,13,5.9,1700,16000
LAKE,DELHI,-,-,8.1,5250,82,1.74,8200,920000
LAKE,DELHI,-,14.2,8.2,670,38,24.92,220,3500
LAKE,GOA,27,5.9,6.5,21,0.1,0.11,5,13
LAKE,GOA,27,1.3,6.1,81,0.1,0.11,1300,1700
LAKE,GOA,26,4.8,6.3,34,0.1,0.11,490,790
LAKE,GOA,26,4.4,6.1,28,0.1,0.11,1300,2300
LAKE,GOA,28,4.1,7.0,176,0.1,0.63,3300,4900
LAKE,GOA,26,1.6,6.0,62,0.1,0.11,1100,2300
LAKE,GOA,27,7.3,6.2,55,0.1,0.11,1700,3500
LAKE,GUJARAT,25,5.2,7.9,2303,1.8,0.07,6,94
LAKE,GUJARAT,25,5.7,7.3,36,2.7,0.03,15,120
LAKE,GUJARAT,22,3.5,7.9,9,0.1,0.12,2,17
LAKE,GUJARAT,22,2.8,7.3,770,0.1,0.18,21,120
LAKE,GUJARAT,26,5.7,7.5,281,1.8,0.09,8,110
LAKE,GUJARAT,21,5.5,7.2,1082,0.9,0.05,5,40
LAKE,GUJARAT,24,2.6,7.1,450,0.4,0.28,6,17
LAKE,GUJARAT,22,2.6,7.3,355,2.1,0.04,2,2
LAKE,GUJARAT,20,3.1,7.4,651,0.1,0.18,12,110
LAKE,GUJARAT,28,6.1,7.3,354,0.1,0.07,17,33
LAKE,GUJARAT,26,6.7,7.0,304,0.2,0.05,2,12
LAKE,GUJARAT,25,4.2,7.3,922,2,0.03,2,2
LAKE,GUJARAT,24,5.4,6.4,502,0.1,0.03,2,2
LAKE,GUJARAT,21,4.1,7.2,383,0.6,0.12,12,84
LAKE,GUJARAT,26,6.1,7.0,371,1.1,0.03,2,2
LAKE,GUJARAT,25,4.7,7.6,250,3.7,0.16,210,920
POND,GUJARAT,26,6.5,7.0,532,0.3,0.06,9,41
POND,GUJARAT,24,5.2,7.1,324,0.2,0.03,2,2
TANK,GUJARAT,24,4.3,7.2,420,4,0.04,4,8
LAKE,HARYANA,14,7,7.2,216,1.6,0.09,200,140
LAKE,HARYANA,14,6.7,7.0,329,1.2,0.06,130,260
LAKE,HARYANA,-,-,7.7,300,2.1,7.41,2,2
LAKE,HARYANA,5,6,7.0,340,4,2.1,-,-
POND,HARYANA,24,6.8,7.1,240,2.2,0.05,100,110
LAKE,"HIMACHAL 
PRADESH",16,8.3,7.3,169,0.1,0.1,63,280
LAKE,"HIMACHAL 
PRADESH",13,8.1,6.7,178,0.1,0.07,2,25
LAKE,"HIMACHAL 
PRADESH",15,6.1,6.7,483,0.8,0.01,12,38
LAKE,"HIMACHAL 
PRADESH",16,5.6,7.1,144,1.6,0.06,49,350
LAKE,"HIMACHAL 
PRADESH",3,5.9,6.6,60,0.4,0.22,2,32
LAKE,"JAMMU & 
KASHMIR",12,4.9,7.2,130,1.3,-,-,-
LAKE,"JAMMU & 
KASHMIR",15,7.6,7.2,105,0.3,0.01,-,-
LAKE,"JAMMU & 
KASHMIR",15,6.2,7.3,110,0.4,0.02,-,-
LAKE,"JAMMU & 
KASHMIR",8,5.4,8.1,120,3.2,0.03,-,-
LAKE,"JAMMU & 
KASHMIR",15,5.2,8.2,180,4,0.04,-,-
LAKE,"JAMMU & 
KASHMIR",11,6.2,7.3,135,2.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",18,5.5,7.4,128,2,-,-,-
LAKE,"JAMMU & 
KASHMIR",18,4.5,7.3,154,3,-,-,-
LAKE,"JAMMU & 
KASHMIR",19,3.7,7.1,126,2.2,-,-,-
LAKE,"JAMMU & 
KASHMIR",14,3.7,7.1,106,1,-,-,-
LAKE,"JAMMU & 
KASHMIR",19,4.6,7.3,214,3.2,-,-,-
LAKE,"JAMMU & 
KASHMIR",21,4.8,7.4,146,1.6,-,-,-
LAKE,"JAMMU & 
KASHMIR",19,5,7.2,133,2,-,-,-
LAKE,"JAMMU & 
KASHMIR",18,6.5,7.6,130,2,-,-,-
LAKE,"JAMMU & 
KASHMIR",20,3.9,7.9,148,2.6,-,-,-
LAKE,"JAMMU & 
KASHMIR",20,5.2,7.5,132,1,-,-,-
LAKE,"JAMMU & 
KASHMIR",12,3.9,7.3,106,0.1,-,-,-
LAKE,"JAMMU & 
KASHMIR",17,3.6,7.1,108,0.1,-,-,-
LAKE,"JAMMU & 
KASHMIR",20,4.1,7.2,250,2,-,-,-
LAKE,"JAMMU & 
KASHMIR",15,3.3,7.2,108,0.1,-,-,-
LAKE,"JAMMU & 
KASHMIR",19,5.6,7.6,143,1,-,-,-
LAKE,"JAMMU & 
KASHMIR",14,0.9,7.0,316,3.2,-,-,-
LAKE,"JAMMU & 
KASHMIR",14,0.5,7.1,350,3.6,-,-,-
LAKE,"JAMMU & 
KASHMIR",13,2.7,7.3,125,1.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",16,2.7,7.1,228,1.6,-,-,-
LAKE,"JAMMU & 
KASHMIR",17,0.7,7.1,185,2.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",19,0.7,7.1,205,3.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",17,1,7.0,194,4,-,-,-
LAKE,"JAMMU & 
KASHMIR",19,1.8,7.0,103,2.4,-,-,-
LAKE,"JAMMU & 
KASHMIR",18,2.8,7.0,90,1.6,-,-,-
LAKE,"JAMMU & 
KASHMIR",16,3.5,7.1,260,5.8,-,-,-
LAKE,JHARKHAND,15,7.4,7.4,-,0.9,-,-,-
LAKE,JHARKHAND,15,7.2,7.4,152,0.7,1.28,-,-
LAKE,JHARKHAND,16,6.4,6.7,-,1.1,-,-,-
POND,JHARKHAND,16,8,7.2,308,2.1,-,-,-
POND,JHARKHAND,15,4.5,8.2,300,2.2,-,-,-
POND,JHARKHAND,15,1.8,7.2,-,4.8,-,-,-
POND,JHARKHAND,14,1.8,7.1,-,10.5,-,-,-
LAKE,KARNATAKA,25,3.4,7.0,317,3,0.5,940,5400
LAKE,KARNATAKA,23,2,7.5,387,3,2.4,330,2200
LAKE,KARNATAKA,20,0.3,7.4,1076,9,0.83,2100,8400
LAKE,KARNATAKA,21,6,7.9,512,2.8,1,580,4300
LAKE,KARNATAKA,21,0.5,7.3,722,7.4,1.9,2100,8400
LAKE,KARNATAKA,19,0.3,7.4,919,9.6,2.1,2100,8400
LAKE,KARNATAKA,20,4.5,7.5,612,3.5,3.4,1100,4800
LAKE,KARNATAKA,20,5.2,7.5,494,3,1.2,910,4800
LAKE,KARNATAKA,24,4.1,6.6,397,3.4,0.01,1700,9200
LAKE,KARNATAKA,24,4,7.3,250,3,0.31,940,5400
LAKE,KARNATAKA,25,3.5,7.0,320,3,0.9,4100,24000
LAKE,KARNATAKA,23,0.9,6.5,992,6,1,630,5400
LAKE,KARNATAKA,25,0.3,6.5,554,0.5,1.61,12000,92000
LAKE,KARNATAKA,25,0.3,6.5,880,3,1.85,7000,54000
LAKE,KARNATAKA,25,0.5,6.6,328,3.5,0.51,330,3500
LAKE,KARNATAKA,24,0.5,6.8,1250,6,1.2,4800,7000
LAKE,KARNATAKA,25,3.4,6.9,702,3,0.6,3300,24000
LAKE,KARNATAKA,25,3.7,6.8,814,3.4,0.72,4800,35000
LAKE,KARNATAKA,25,6.1,6.5,1101,4,1.9,17000,92000
LAKE,KARNATAKA,25,3.8,6.7,688,2.7,0.65,330,3500
LAKE,KARNATAKA,25,2.6,6.5,720,3,1.2,790,9200
LAKE,KARNATAKA,25,3.4,6.6,682,3.1,0.64,340,3500
LAKE,KARNATAKA,25,4,6.5,370,2.6,1,840,9200
LAKE,KARNATAKA,25,4.1,6.4,378,2.6,0.7,630,5400
LAKE,KARNATAKA,25,1,6.4,641,3,1.06,630,5400
LAKE,KARNATAKA,25,0.3,6.7,510,3.4,0.71,410,3500
LAKE,KARNATAKA,25,2.4,6.0,178,2,0.4,1500,16000
LAKE,KARNATAKA,25,2.3,6.4,702,7,0.9,630,5400
LAKE,KARNATAKA,25,3,6.4,266,3,0.46,1700,16000
LAKE,KARNATAKA,25,5.3,6.9,1264,7,2.4,4600,35000
LAKE,KARNATAKA,25,6.3,6.6,182,4,0.46,4100,24000
LAKE,KARNATAKA,23,3.4,7.4,685,3,1.4,940,5400
LAKE,KARNATAKA,18,4.5,6.1,135,2,0.12,390,5400
LAKE,KARNATAKA,24,6.1,8.1,386,1.1,0.61,500,900
LAKE,KARNATAKA,22,6.3,7.7,316,1,0.52,350,900
LAKE,KARNATAKA,24,6.5,7.4,525,3.3,0.69,9,120
LAKE,KARNATAKA,25,0.6,6.0,419,3.3,1.4,1700,9200
LAKE,KARNATAKA,24,0.1,6.5,306,4,0.72,940,5400
LAKE,KARNATAKA,24,0.5,6.7,1204,2,1.3,490,5400
LAKE,KARNATAKA,24,3.5,6.6,329,3,0.34,1100,9200
LAKE,KARNATAKA,25,4,6.2,121,3,0.33,700,5400
LAKE,KARNATAKA,24,0.4,6.5,425,5,0.8,700,5400
LAKE,KARNATAKA,25,3.2,6.1,267,2,0.48,480,3500
LAKE,KARNATAKA,25,0.5,6.4,594,3,1.2,4000,35000
LAKE,KARNATAKA,24,4,6.0,267,2,0.68,790,9200
LAKE,KARNATAKA,25,2.1,6.6,729,4,0.77,6300,54000
LAKE,KARNATAKA,25,3.4,6.1,577,4,0.03,480,2400
LAKE,KARNATAKA,25,2.4,6.6,757,5,0.9,4600,34000
LAKE,KARNATAKA,24,4.2,7.1,882,3,0.03,480,3500
LAKE,KARNATAKA,25,3.2,6.1,287,3,1.2,4100,54000
LAKE,KARNATAKA,25,2,6.4,470,4,0.48,700,5400
LAKE,KARNATAKA,25,0.3,6.1,528,6.6,0.91,11000,92000
LAKE,KARNATAKA,24,0.5,7.0,729,6,1.5,4100,35000
LAKE,KARNATAKA,25,2.8,6.6,680,3.2,0.13,460,3500
LAKE,KARNATAKA,29,1.4,7.2,1176,10,4,46000,540000
LAKE,KARNATAKA,24,1,6.7,445,4,0.7,4100,24000
LAKE,KARNATAKA,24,1,6.7,1082,9,0.19,3300,35000
LAKE,KARNATAKA,25,3.6,6.8,738,3,1.15,7900,54000
LAKE,KARNATAKA,23,2.4,6.9,917,4,2.61,460,3500
LAKE,KARNATAKA,25,4.7,6.3,268,2,0.3,1200,9200
LAKE,KARNATAKA,25,0.6,6.7,1073,4,3,460,3500
LAKE,KARNATAKA,20,2.4,6.3,380,3,1.09,540,9200
LAKE,KARNATAKA,24,5,6.5,248,3,0.61,1200,9200
LAKE,KARNATAKA,23,1,6.0,607,2,1.11,630,5400
LAKE,KARNATAKA,24,0.1,6.5,294,3,1.39,1100,16000
LAKE,KARNATAKA,24,1,6.1,313,3.6,2,790,5400
LAKE,KARNATAKA,25,1.9,6.8,600,4,0.97,460,3500
LAKE,KARNATAKA,25,3.8,6.7,337,3.4,0.68,1700,9200
LAKE,KARNATAKA,25,2.6,6.7,332,4.2,0.47,790,9200
LAKE,KARNATAKA,28,3.5,7.3,868,4,3,700,5400
LAKE,KARNATAKA,25,1,6.8,625,4,0.67,1200,9200
LAKE,KARNATAKA,25,4.1,7.0,660,4,0.78,940,5400
TANK,KARNATAKA,20,6.8,7.1,260,3,0.1,350,1600
TANK,KARNATAKA,20,6.8,7.5,278,4,0.1,580,2100
TANK,KARNATAKA,27,5.3,6.6,128,2,0.08,2,7
TANK,KARNATAKA,21,4.5,7.2,552,3,1.5,780,4300
TANK,KARNATAKA,25,4.5,6.5,487,3,0.83,940,5400
TANK,KARNATAKA,24,4,6.9,399,4,0.12,230,3500
TANK,KARNATAKA,25,3.6,6.5,357,3,0.18,230,3500
TANK,KARNATAKA,25,0.5,6.0,426,4,0.58,4600,54000
TANK,KARNATAKA,24,0.9,6.3,76,2,0.82,790,9200
TANK,KARNATAKA,23,2.5,6.7,124,4,1.15,700,5400
TANK,KARNATAKA,23,3,6.2,525,4,1,79,9200
TANK,KARNATAKA,22,0.5,6.5,1114,6,2.42,1100,9200
TANK,KARNATAKA,25,0.5,6.6,277,4,1.66,840,9200
TANK,KARNATAKA,25,4.6,6.2,714,5,1.1,6300,54000
TANK,KARNATAKA,25,0.5,6.3,637,4,1.4,790,16000
TANK,KARNATAKA,24,0.6,6.4,243,3,0.73,700,5400
TANK,KARNATAKA,25,0.5,6.0,525,4,0.83,4600,35000
TANK,KARNATAKA,25,2,6.5,726,3,0.6,400,3500
TANK,KARNATAKA,25,3.3,6.5,351,2,1.1,460,3500
TANK,KARNATAKA,25,2.1,6.4,267,3,0.8,120,920
TANK,KARNATAKA,25,3,7.0,474,4,1,4600,35000
TANK,KARNATAKA,25,0.5,5.9,428,2,1.22,3300,35000
TANK,KARNATAKA,24,0.5,6.3,262,4,0.9,630,5400
TANK,KARNATAKA,25,3.8,6.4,920,4,1.4,580,9200
TANK,KARNATAKA,24,3.5,6.5,261,2.6,0.61,460,5400
TANK,KARNATAKA,20,0.3,6.6,912,5,2.1,6300,54000
TANK,KARNATAKA,24,0.5,6.5,670,4,2,4300,35000
TANK,KARNATAKA,25,0.9,6.5,850,4,0.32,1400,9200
TANK,KARNATAKA,24,4.3,6.5,225,3,0.02,480,3500
TANK,KARNATAKA,24,2.8,6.5,314,3.2,0.65,4600,35000
TANK,KARNATAKA,25,2.5,6.7,165,5,0.5,2300,35000
TANK,KARNATAKA,24,0.5,6.5,402,4,0.19,940,9200
TANK,KARNATAKA,25,3.6,6.3,393,3,1,460,5400
TANK,KARNATAKA,24,0.8,6.6,302,3,1,1200,9200
TANK,KARNATAKA,25,3.2,6.6,133,2,0.29,460,5400
TANK,KARNATAKA,20,1,6.5,519,4,0.49,460,5400
TANK,KARNATAKA,19,1,6.8,926,6.1,1,460,3500
TANK,KARNATAKA,24,4.5,6.2,136,2,0.32,63,540
TANK,KARNATAKA,27,4.6,7.7,510,3,0.2,680,3900
TANK,KARNATAKA,24,3.6,8.0,1410,4,0.7,680,4300
TANK,KARNATAKA,24,2.8,7.3,580,3.6,0.13,920,7000
TANK,KARNATAKA,24,4.9,7.5,430,1.8,0.14,340,2400
TANK,KARNATAKA,24,4.7,7.7,470,3,0.32,320,2400
TANK,KARNATAKA,23,5.3,7.7,390,2,0.13,170,1100
TANK,KARNATAKA,23,4.8,7.7,450,2,0.14,270,2200
TANK,KARNATAKA,24,4.5,7.7,390,2.2,0.2,320,2200
TANK,KARNATAKA,23,5.1,7.8,450,2.2,0.17,320,1600
TANK,KARNATAKA,24,4.9,7.8,410,2,0.1,140,920
TANK,KARNATAKA,24,4.8,7.8,500,2,0.2,260,1700
TANK,KARNATAKA,23,5,7.5,440,2,0.1,210,1700
TANK,KARNATAKA,24,4.9,7.6,400,2,0.1,170,2100
TANK,KARNATAKA,24,4.2,7.5,340,1.8,0.13,320,1700
TANK,KARNATAKA,24,5.2,7.5,380,2,0.17,210,1300
TANK,KARNATAKA,25,4.8,7.5,410,2,0.18,170,1100
TANK,KARNATAKA,24,3,7.6,1280,4,0.8,610,4600
TANK,KARNATAKA,24,5.2,7.6,340,2,0.1,120,1100
TANK,KARNATAKA,24,5.1,7.5,280,2,0.16,140,920
TANK,KARNATAKA,23,4.9,7.6,280,2,0.1,110,940
TANK,KARNATAKA,26,6.8,7.5,938,4.5,0.1,700,2800
TANK,KARNATAKA,21,0.3,6.8,394,3.4,0.72,900,1600
TANK,KARNATAKA,23,5.2,6.9,806,4.5,1.17,70,278
TANK,KARNATAKA,23,7.1,7.4,358,3.1,0.44,8,94
TANK,KARNATAKA,24,7.2,7.6,301,2.1,0.27,2,11
TANK,KARNATAKA,24,6.8,7.3,554,3.2,0.42,5,39
TANK,KARNATAKA,23,6.8,7.2,650,3.2,0.47,5,109
TANK,KARNATAKA,23,6.6,7.2,693,3.4,0.13,2,27
TANK,KARNATAKA,24,7.1,7.4,809,3.5,0.75,13,130
TANK,KARNATAKA,26,6.7,7.0,110,1.8,0.3,240,800
TANK,KARNATAKA,25,4,7.2,120,2,0.3,600,900
TANK,KARNATAKA,27,5.2,6.9,320,3.4,0.3,5000,7000
TANK,KARNATAKA,26,6.8,7.1,152,2.4,0.3,500,1400
TANK,KARNATAKA,27,4.1,7.0,182,2.8,0.3,900,2200
TANK,KARNATAKA,25,2.2,8.2,1020,4.6,0.3,50000,110000
TANK,KARNATAKA,25,3.9,7.1,530,4.8,0.3,5000,8000
TANK,KARNATAKA,25,6.5,7.5,978,9,0.1,2400,9200
TANK,KARNATAKA,24,7.1,6.7,128,2.3,0.21,4,14
TANK,KARNATAKA,25,3.2,7.0,842,4,0.29,400,2400
TANK,KARNATAKA,25,0.9,7.1,898,6,0.62,630,5400
TANK,KARNATAKA,24,0.1,6.4,187,2.3,0.5,4300,35000
TANK,KARNATAKA,25,0.3,6.5,161,4,0.76,790,9200
TANK,KARNATAKA,24,0.6,6.3,301,3,0.66,460,5400
TANK,KARNATAKA,25,2.9,6.5,414,3.5,0.9,630,5400
TANK,KARNATAKA,20,0.3,6.8,637,8,2.72,840,5400
TANK,KARNATAKA,20,4.1,6.7,757,4,0.34,1500,16000
TANK,KARNATAKA,21,0.5,6.8,749,7,2.16,940,5400
TANK,KARNATAKA,25,0.5,6.1,76,4,1,1200,9200
LAKE,KERALA,26,0.9,6.2,241,2.3,0.01,200,1300
LAKE,KERALA,20,6.8,6.8,140,1.2,0.67,40,180
LAKE,KERALA,20,3.6,6.6,18200,2.9,2.2,100,310
LAKE,KERALA,19,6.1,6.9,13120,1.7,1.1,80,310
LAKE,KERALA,27,2.3,6.6,320,0.1,0.07,480,1100
LAKE,KERALA,21,6.7,6.5,33,0.1,0.01,2,2
LAKE,KERALA,26,6,6.7,300,0.9,0.04,17,49
LAKE,KERALA,25,2.6,6.8,2348,2.7,0.01,2,2
LAKE,KERALA,25,3.9,6.9,171,1.1,0.01,100,400
LAKE,KERALA,24,6.8,6.9,24,0.1,0.01,4,14
LAKE,KERALA,25,4.9,6.8,180,1.8,0.01,2,2
LAKE,KERALA,24,6.6,6.7,38,0.1,0.01,40,120
LAKE,KERALA,23,6.8,6.7,91,0.1,0.01,2,2
LAKE,KERALA,24,7.6,6.3,20,0.1,0.05,40,58
LAKE,KERALA,25,7.4,6.7,16,0.1,0.01,10,17
LAKE,KERALA,26,1.8,6.0,102,1.4,0.01,100,400
POND,KERALA,26,0.9,6.8,265,6.6,0.01,400,1700
POND,KERALA,23,5.7,6.5,51,0.1,0.01,31,54
POND,LAKSHADWEEP,27,-,7.2,490,-,-,-,-
POND,LAKSHADWEEP,27,-,6.8,646,-,-,-,-
LAKE,"MADHYA 
PRADESH",19,6,7.2,162,0.9,1.02,2,40
LAKE,"MADHYA 
PRADESH",19,4.9,6.9,347,2.9,0.32,39,920
LAKE,"MADHYA 
PRADESH",21,7.1,7.4,618,1.2,2.2,3,14
LAKE,"MADHYA 
PRADESH",16,7,7.1,160,0.8,0.21,2,10
LAKE,"MADHYA 
PRADESH",20,5.9,7.5,318,1.8,0.32,1,32
LAKE,"MADHYA 
PRADESH",20,6.6,7.3,314,0.8,0.82,1,41
LAKE,"MADHYA 
PRADESH",16,6.1,7.7,373,0.9,0.64,1,41
LAKE,"MADHYA 
PRADESH",16,6.6,7.6,280,1,0.01,1,43
LAKE,"MADHYA 
PRADESH",19,6,7.2,265,0.9,0.62,1,39
LAKE,"MADHYA 
PRADESH",19,6.6,7.1,209,0.7,0.18,2,32
LAKE,"MADHYA 
PRADESH",19,5.9,7.2,512,1.2,1.02,10,540
LAKE,"MADHYA 
PRADESH",20,8,7.5,93,0.1,1.02,2,34
LAKE,"MADHYA 
PRADESH",20,8.3,7.7,160,1.2,1.29,2,47
LAKE,"MADHYA 
PRADESH",19,7.9,7.7,180,1.4,1.32,2,46
LAKE,"MADHYA 
PRADESH",20,3.4,7.4,212,0.1,1.02,2,21
LAKE,"MADHYA 
PRADESH",28,8.6,7.8,273,1.6,0.65,2,21
LAKE,"MADHYA 
PRADESH",12,6.8,7.2,210,1.2,0.1,2,24
LAKE,"MADHYA 
PRADESH",20,6.8,7.3,264,0.6,0.71,1,32
LAKE,"MADHYA 
PRADESH",16,6.4,7.3,220,1.8,0.25,2,17
LAKE,"MADHYA 
PRADESH",16,5.5,6.3,180,2.5,0.12,2,11
LAKE,"MADHYA 
PRADESH",19,6.8,7.1,168,0.8,0.01,2,2
POND,"MADHYA 
PRADESH",22,6.6,7.3,350,1.8,0.75,2,29
POND,"MADHYA 
PRADESH",24,7.2,7.6,264,1.6,0.48,2,40
POND,"MADHYA 
PRADESH",16,6,7.4,226,0.8,0.12,1,17
POND,"MADHYA 
PRADESH",16,5,7.1,310,1.9,0.12,2,20
POND,"MADHYA 
PRADESH",16,6.1,7.1,234,0.9,0.01,2,7
POND,"MADHYA 
PRADESH",16,6.8,7.6,382,1.1,0.83,1,48
POND,"MADHYA 
PRADESH",19,6.3,7.2,270,0.7,0.19,2,27
POND,"MADHYA 
PRADESH",18,6.7,7.5,150,0.1,0.4,-,-
POND,"MADHYA 
PRADESH",17,5.4,7.3,45,0.9,0.12,2,25
POND,"MADHYA 
PRADESH",17,6,6.7,290,0.9,0.18,2,7
POND,"MADHYA 
PRADESH",19,6.2,7.6,302,0.8,0.09,1,31
POND,"MADHYA 
PRADESH",19,6.9,7.1,220,0.8,0.62,1,16
TANK,"MADHYA 
PRADESH",17,7,7.0,162,0.8,0.21,2,11
LAKE,MANIPUR,20,6.9,6.9,130,3,-,5,35
LAKE,MANIPUR,20,6.6,6.7,150,2.9,-,5,35
LAKE,MANIPUR,20,6.3,7.1,120,2.8,-,10,45
LAKE,MANIPUR,20,6.7,7.1,125,3,-,2,15
LAKE,MANIPUR,18,6.7,7.2,140,3.2,-,10,15
POND,MANIPUR,18,6.7,7.3,210,3.3,-,10,30
POND,MANIPUR,18,6.6,7.4,180,3.1,-,2,10
POND,MANIPUR,17,5.6,6.7,70,3,-,20,75
POND,MANIPUR,18,6.4,7.2,205,3,-,5,35
POND,MANIPUR,18,5.9,7.0,80,3,-,5,40
POND,MANIPUR,16,6.3,7.2,70,3,-,5,25
POND,MANIPUR,3,6.1,6.4,125,3.2,-,-,5
POND,MANIPUR,19,6.3,6.3,50,3,-,9,15
POND,MANIPUR,20,5.7,6.8,140,2.8,-,10,35
POND,MANIPUR,18,5.3,7.2,150,3.3,-,25,85
POND,MANIPUR,18,5.6,7.1,150,3.3,-,20,65
POND,MANIPUR,17,5.1,7.1,90,3,-,15,15
POND,MANIPUR,17,5.1,7.1,530,3.5,-,35,170
LAKE,MEGHALAYA,15,5.6,7.1,67,4.8,0.5,340,420
LAKE,MEGHALAYA,15,7,7.1,120,3.1,0.3,84,390
LAKE,MEGHALAYA,6,6,6.7,35,1.4,0.39,9,94
LAKE,MEGHALAYA,14,4.8,6.9,70,5.5,0.52,330,790
LAKE,MEGHALAYA,16,5.9,7.2,65,4.8,0.02,310,580
LAKE,MEGHALAYA,12,5.6,6.9,65,4.9,0.3,310,630
LAKE,MEGHALAYA,19,6.8,7.0,55,1.6,0.32,21,130
LAKE,MIZORAM,13,7.3,6.3,38,0.9,0.01,-,-
POND,MIZORAM,17,3.6,6.3,198,0.9,0.02,-,-
POND,MIZORAM,18,3.1,7.1,185,0.3,0.02,-,-
LAKE,NAGALAND,19,3.9,6.7,72,1.8,0.09,-,-
LAKE,NAGALAND,20,4.8,6.7,120,1.7,0.08,-,-
LAKE,ODISHA,22,6.1,7.0,1830,0.5,0.02,2,45
LAKE,ODISHA,20,5.1,6.9,92,0.6,0.02,170,490
LAKE,ODISHA,13,5.8,7.4,6898,0.9,0.04,2,20
LAKE,ODISHA,12,3,7.8,305,2.1,0.02,130,230
