Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min_Nitrate_Nitrite,Min Fecal Coliform,Min Total Coliform,Year,Toilet_Access,Open_Defecation,Rainfall
POND,ASSAM,22,4.7,6.7,63,2.8,0.2,300,300,2017,65.0,35.1,201.04888299368935
POND,ASSAM,17,5.3,6.1,24,1.7,0.1,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,17,4.7,6.6,17,1.5,0.3,360,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,20,5.3,6.2,32,1.6,0.1,360,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,21,4.5,6.4,26,2.2,1.1,300,360,2017,65.0,35.1,201.04888299368935
POND,ASSAM,24,4,6.8,280,3.4,0.8,300,910,2017,65.0,35.1,201.04888299368935
POND,ASSAM,20,4,7.1,136,3,0.3,360,360,2017,65.0,35.1,201.04888299368935
TANK,ASSAM,18,5.2,5.9,21,1.4,0.1,300,360,2017,65.0,35.1,201.04888299368935
LAKE,BIHAR,18,6.2,7,275,2.1,0,2100,3100,2017,23.1,76.9,82.7820908082079
POND,BIHAR,18,6.4,7.4,308,2.3,0,1700,2700,2017,23.1,76.9,82.7820908082079
LAKE,CHANDIGARH,14,5.1,6.7,137,3,0.28,2,2,2017,87.69999999999999,12.4,93.977511675
LAKE,CHHATTISGARH,25,5.8,7,290,2,0,130,260,2017,24.7,75.4,109.70690853628008
POND,CHHATTISGARH,25,6.4,7.2,290,2,0,130,460,2017,24.7,75.4,109.70690853628008
LAKE,GOA,26,6.1,6.3,42,0,0,8,2,2017,79.7,20.3,256.42437126887506
LAKE,GOA,26.5,4.4,5.2,38,0.5,0,220,260,2017,79.7,20.3,256.42437126887506
LAKE,GOA,27,6.1,6.2,43,0.4,0.01,8,2,2017,79.7,20.3,256.42437126887506
LAKE,GOA,25.3,1.9,6.3,98,0.6,0.03,780,1100,2017,79.7,20.3,256.42437126887506
LAKE,GOA,23.3,2.8,6.4,63,1,0,110,140,2017,79.7,20.3,256.42437126887506
LAKE,GOA,26.5,4.7,6,72,1,0,200,450,2017,79.7,20.3,256.42437126887506
LAKE,GOA,26,1.5,5,78,0.9,0,130,230,2017,79.7,20.3,256.42437126887506
LAKE,GUJARAT,25,4.2,8.4,2308,30,0.19,9,48,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,25,2.6,7.5,349,5,0.09,5,58,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,22,7.6,7.2,223,0.2,0.04,2,4,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,25,1.6,6.7,2630,0.8,0.08,4,11,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,26,5,7.7,298,5,0.1,5,21,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,21,3.4,7.3,146,4.1,0.03,4,9,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,22,4.1,6.6,420,4.1,0.01,2,2,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,22,3.8,6.7,360,3.1,0,7,14,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,23,2.5,8.5,619,1.9,0.24,4,21,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,29,4.1,7.7,122,0.4,0,4,11,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,26,5.2,7.5,226,1.5,0.04,2,2,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,26,7,7.7,229,1,0.06,8,26,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,27,6.1,7.3,300,1,0,12,38,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,24,5.7,7,209,1.1,0,7,14,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,24,5.3,7.4,344,0.7,0.07,2,2,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,24,2,7.3,325,0.7,0.04,4,11,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,24,1.2,7,457,0.7,0.71,4,7,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,27,0.5,8.4,1884,21,0.18,11,43,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,26,1.6,8.6,2354,17,0.18,7,26,2017,57.4,42.7,90.42157862604014
LAKE,GUJARAT,26,2.1,7.4,190,1.2,0,2,11,2017,57.4,42.7,90.42157862604014
POND,GUJARAT,25,5.1,7.1,360,1.1,0.01,26,94,2017,57.4,42.7,90.42157862604014
POND,GUJARAT,24,6,4.6,326,0.9,0.03,17,41,2017,57.4,42.7,90.42157862604014
TANK,GUJARAT,26,4.2,7.4,221,6,0.05,2,11,2017,57.4,42.7,90.42157862604014
LAKE,HARYANA,25,5.7,6.9,165,0.8,0,170,840,2017,68.6,31.4,60.14914662266175
LAKE,HARYANA,25,5.8,7.1,281,2.4,0,200,1480,2017,68.6,31.4,60.14914662266175
LAKE,HIMACHAL PRADESH,10,7.5,7.7,176,0.2,0.1,27,220,2017,69.1,30.9,91.06631499593747
LAKE,HIMACHAL PRADESH,13.5,6.3,7.4,172,0.1,0.04,5,170,2017,69.1,30.9,91.06631499593747
LAKE,HIMACHAL PRADESH,13,5.3,6.4,719,1.2,0.24,21,33,2017,69.1,30.9,91.06631499593747
LAKE,HIMACHAL PRADESH,12,4.5,7.2,190,2,0,94,540,2017,69.1,30.9,91.06631499593747
LAKE,HIMACHAL PRADESH,7.9,5.9,6.8,69,2.8,0,17,540,2017,69.1,30.9,91.06631499593747
LAKE,JAMMU & KASHMIR,3.6,5.2,7.2,112,1,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,10,6.9,7.3,154,2.3,0.01,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,10,6.1,7.6,156,2.4,0.11,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,9,6.4,7.4,156,9,0.02,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,9,6.2,7.7,145,6,0.02,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,3.2,2,7.1,110,1.1,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,3.5,5.7,7.4,114,1,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,2.5,2.2,7.2,119,3.8,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,3.5,6.5,7.3,120,1,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,7.5,5,7.2,119,1.3,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,5.2,4.8,7.2,239,3.5,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,6,5,7.2,188,3,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,5.4,4.5,7.2,168,2,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,3.3,6.2,7.4,130,1,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,4.4,5.1,7.3,103,1,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,4.8,5.6,7.3,117,1.4,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,6.5,3.6,7.6,110,1.3,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,6,2,7.5,120,2,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,6,3,7.4,115,1.6,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JAMMU & KASHMIR,5.8,4.3,7.4,120,1.8,0.13,130,300,2017,51.2,48.8,88.19377632735228
LAKE,JHARKHAND,17,6.9,7.2,290,1,0.13,130,300,2017,22.1,78.0,78.49253247751737
LAKE,JHARKHAND,11.5,7.5,6.7,210,0.2,0.6,130,300,2017,22.1,78.0,78.49253247751737
POND,JHARKHAND,23,3,7.7,340,2.7,0.13,130,300,2017,22.1,78.0,78.49253247751737
LAKE,KARNATAKA,28,4.2,7.4,410,3,0.55,330,1090,2017,51.2,48.8,114.7101609431186
LAKE,KARNATAKA,23,4,7.6,496,2,0.24,330,2100,2017,51.2,48.8,114.7101609431186
LAKE,KARNATAKA,21,4.2,6.8,282,4,0.7,210,1720,2017,51.2,48.8,114.7101609431186
LAKE,KARNATAKA,27,4.2,6.9,330,3,0.41,270,1090,2017,51.2,48.8,114.7101609431186
LAKE,KARNATAKA,25.1,3.7,6.2,425,3,1,700,2210,2017,51.2,48.8,114.7101609431186
LAKE,KARNATAKA,25,5,6.4,588,2,1,270,2210,2017,51.2,48.8,114.7101609431186
LAKE,KARNATAKA,23,2.5,7,224,3,0.38,110,1200,2017,51.2,48.8,114.7101609431186
LAKE,KARNATAKA,24,5.4,6.8,121,3,0.18,170,1090,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,23,6.4,7.1,255,2,0,240,900,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,26,5.8,8.4,1257,2,0,1000,3200,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,23,6,7.1,298,2,0,240,900,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,28,6,6.7,133,1,0.18,2,5,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,21,4,6.5,380,3,0.45,490,2400,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,28,4.6,6.7,430,3,0.8,330,700,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,0.4,6.7,1442,5,2.02,330,1410,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,3.5,6.7,304,3,0,330,790,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,28,2.4,5.9,724,4,0.76,490,790,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,23.8,2.6,6.5,286,3,0.6,220,1300,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24.6,2.2,6.5,461,4,1.05,140,1090,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,4.7,6.6,195,3,0,490,790,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,2.1,6.6,365,3,0.27,210,2400,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,6.7,7.9,10,3,0.2,390,2100,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,6.8,7.9,10,4.2,0.23,940,2800,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,6.2,7.6,620,3,0.14,270,2800,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,5.1,7.6,440,3,0.13,270,2200,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,5.4,7.7,400,2,0.12,210,2200,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,26,6,7.2,992,11,0,240,900,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,6.7,7.4,460,0.5,0.8,110,170,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,5.3,7.5,340,1,0.16,900,1600,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,1.4,6.5,480,16.5,0.48,1800,3200,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24,5.8,8.1,400,2.2,0.58,560,1600,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,3.1,6.9,530,23.1,0.51,275,1800,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,26,7.1,7.7,972,3.2,0.48,70,175,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,26,6.1,7.6,830,4.4,0.86,20,110,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,26,7,7.2,560,3,0.33,17,80,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,6.1,7.6,696,3.4,0.31,50,140,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,27,6.3,7.3,566,3.9,0.25,25,140,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,5.9,7.3,778,4.7,0.12,130,550,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,26,6.6,7.6,1213,3.6,0.69,110,350,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,5.9,7.2,90,2,0,50,140,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,5.6,7.1,120,2.3,0,60,170,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,26,5.5,7.6,130,2.5,0,460,1400,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,25,5.3,7.1,140,3,0,800,2400,2017,51.2,48.8,114.7101609431186
TANK,KARNATAKA,24.5,2,7.7,350,5,0,1100,3000,2017,51.2,48.8,114.7101609431186
LAKE,KERALA,30,4,6.6,387,3,0,650,1640,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,24,4.3,6.5,110,1,0.28,100,220,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,20,5.7,6.8,18796,1.4,0.43,160,480,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,23,5.3,6.9,20100,1.2,0.41,120,400,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,27,3.2,6.7,1229,0.6,0.24,310,760,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,26,1.5,6.7,34,0.1,0,2,2,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,27,4.5,6.8,1655,0.7,0.23,400,470,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,28,3.2,7.2,1126,0.9,0,100,240,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,26,3.8,6.8,168,1,0.05,140,240,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,27.1,5.1,6.3,25,0.5,0.05,4,8,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,26,4.8,6.9,182,0.7,0.05,100,200,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,24,5.5,6.5,35,0.2,0.06,4,40,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,27,1.2,7,89,0.5,0.03,2,2,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,26,6.6,6.5,22,0.7,0.02,150,4,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,27,6.7,6.5,20,0.4,0.01,2,17,2017,95.2,4.8,204.51389967533927
LAKE,KERALA,30,5.9,6.2,98,0.5,0,220,620,2017,95.2,4.8,204.51389967533927
POND,KERALA,30,5.9,6.6,79,1.3,0,110,320,2017,95.2,4.8,204.51389967533927
POND,KERALA,21,5.5,7,77,0,0,2,2,2017,95.2,4.8,204.51389967533927
POND,LAKSHADWEEP,"28.7 
34.1","7.2 
9.7",7.1,290,2,0.13,130,300,2017,97.8,2.2,0.0
LAKE,MADHYA PRADESH,18,7.5,7.6,223,1.5,0,2,90,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,18,6.2,7.4,336,3.1,0,20,190,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,2.9,7.2,7.4,176,1.2,0,2,90,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,18.8,7.2,7.1,142,0.7,0.3,2,17,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,18,6.3,7.2,173,0.8,0.3,2,21,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,23,6.1,7.5,410,1.8,0,130,300,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,19,4.8,7.5,499,1.1,0.73,2,33,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,19,4.6,7.3,371,1.2,0.43,2,40,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,19,3.9,7.7,330,1.2,0.89,2,23,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,21,6.4,7.2,294,1.4,0.78,2,40,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,24,6.5,7.2,0,1.2,1.55,2,21,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,19,5.5,7.3,526,3.1,0,12,920,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,19,7.5,7.5,218,1.5,0,2,94,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,21,7.5,7.5,211,1.7,0,2,90,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,17,7.3,7.8,228,1.5,0,2,90,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,6,6.9,7.6,193,1.2,0,2,34,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,18,7.1,7.5,160,2.1,0,2,90,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,20,6.1,5.6,390,2,0,130,300,2017,28.8,71.2,100.88792696471856
LAKE,MADHYA PRADESH,20,6.4,7.8,308,1,0,2,40,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,22,4.6,7.1,552,2.4,0.84,9,7,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,24,7,7.5,280,2,0,4,34,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,18,6.9,7.1,360,3.1,0.3,2,46,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,19,3.7,6.5,320,3.2,0.3,10,63,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,16,4.1,7.4,350,1.9,0.3,2,46,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,19,2.6,7.6,8,1.4,0.95,2,50,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,22.6,6.1,7.2,10,1.3,1.41,2,21,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,19,6.4,7.4,270,1.2,0.08,2,8,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,18,6.2,7.1,382,2.8,0.34,2,41,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,19,6.3,7.2,270,2,0.34,2,40,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,20,6.3,7.7,270,0.8,0,2,33,2017,28.8,71.2,100.88792696471856
POND,MADHYA PRADESH,22,4.7,7.5,373,1.2,0.63,2,50,2017,28.8,71.2,100.88792696471856
LAKE,MANIPUR,20.1,6.3,7.5,265,2,0,130,250,2017,89.2,10.7,119.98234118429689
LAKE,MANIPUR,20.2,6.4,7,310,2.1,0,130,100,2017,89.2,10.7,119.98234118429689
LAKE,MANIPUR,20.3,6.2,6.9,260,1.1,0,130,130,2017,89.2,10.7,119.98234118429689
LAKE,MANIPUR,21,6,6.8,270,1.3,0,130,140,2017,89.2,10.7,119.98234118429689
LAKE,MANIPUR,21,5,3.1,2,1,0,130,240,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21.2,7.3,2.2,200,1.4,0,130,119,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21.2,6.9,7,196,1,0,130,116,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,22,6.3,7.1,201,1.8,0,130,135,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21.3,6.4,6.9,320,1.6,0,130,125,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21.4,6.1,6.8,350,1.6,0,130,45,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,20.4,6,6.7,50,1.9,0,130,69,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,20.3,5.7,6.7,200,1,0,130,30,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21,5.7,6.9,290,1.2,0,130,35,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21,6,7,120,1.1,0,130,40,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21.1,6,7,110,1.2,0,130,35,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,21.5,5.8,6.3,7,1.2,0,130,40,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,20.9,5,6.9,430,1.2,0,130,45,2017,89.2,10.7,119.98234118429689
POND,MANIPUR,20.9,6.1,6.1,450,1,0,130,40,2017,89.2,10.7,119.98234118429689
LAKE,MEGHALAYA,16,5,6.9,8,3.8,0.35,1200,2600,2017,63.0,37.1,397.82883806589393
LAKE,MEGHALAYA,13,6,6.9,132,2.5,0.22,610,2200,2017,63.0,37.1,397.82883806589393
LAKE,MEGHALAYA,15,6.4,6.9,38,1.5,0.02,8,24,2017,63.0,37.1,397.82883806589393
LAKE,MEGHALAYA,16,3.5,6.8,83,4.2,0.25,1400,3300,2017,63.0,37.1,397.82883806589393
LAKE,MEGHALAYA,12,4.4,7.1,75,3.5,0.3,1100,2400,2017,63.0,37.1,397.82883806589393
LAKE,MEGHALAYA,16,5.6,6.9,74,3.2,0.11,1100,2300,2017,63.0,37.1,397.82883806589393
LAKE,MEGHALAYA,15,0.3,6.7,48,1.5,0.28,6,14,2017,63.0,37.1,397.82883806589393
LAKE,MIZORAM,22,7.7,7.2,114,0.9,0.04,130,300,2017,92.0,8.1,142.21441254978126
POND,MIZORAM,18,4.4,7.2,200,0.9,0.06,130,300,2017,92.0,8.1,142.21441254978126
POND,MIZORAM,20,3.5,7.1,117,1.8,0.04,130,300,2017,92.0,8.1,142.21441254978126
TANK,MIZORAM,18,6.4,7.2,146,0.5,0.02,130,300,2017,92.0,8.1,142.21441254978126
LAKE,NAGALAND,22.4,4.1,6.5,111,2.8,0,130,300,2017,76.5,23.5,117.5489728609356
LAKE,NAGALAND,21.2,3.5,6.4,80,2.2,0,130,300,2017,76.5,23.5,117.5489728609356
LAKE,ODISHA,22,5.3,7.2,7086,0.9,0.13,2,2,2017,22.0,78.0,114.51607696648888
LAKE,ODISHA,22,5.8,7.3,112,0.6,0.21,490,1100,2017,22.0,78.0,114.51607696648888
LAKE,ODISHA,10,6,7.6,12770,0.9,0.13,2,2,2017,22.0,78.0,114.51607696648888
LAKE,ODISHA,11,3,7.5,479,4.3,0.69,2,78,2017,22.0,78.0,114.51607696648888
LAKE,ODISHA,22,4.8,7.2,94,1,0.2,78,1100,2017,22.0,78.0,114.51607696648888
LAKE,ODISHA,22,5.1,7.2,113,0.8,0,390,1300,2017,22.0,78.0,114.51607696648888
LAKE,ODISHA,23,5.1,7.2,125,1.1,0.18,490,2400,2017,22.0,78.0,114.51607696648888
POND,ODISHA,23,1.7,7.5,395,1.5,0.27,1700,2800,2017,22.0,78.0,114.51607696648888
POND,ODISHA,22,5.9,7.7,520,3.3,0.7,20,110,2017,22.0,78.0,114.51607696648888
POND,ODISHA,21,1.7,7.2,412,2.7,1.45,8,23,2017,22.0,78.0,114.51607696648888
POND,ODISHA,20,5.8,7.2,369,3.2,0.16,45,130,2017,22.0,78.0,114.51607696648888
POND,ODISHA,20,5.7,6.7,104,1.3,0.4,2,230,2017,22.0,78.0,114.51607696648888
POND,ODISHA,19,2.7,7.3,391,2.9,0.86,2,20,2017,22.0,78.0,114.51607696648888
LAKE,PUDUCHERRY,29,6.4,8,307,0,0.01,2,21,2017,68.5,31.6,123.94935149080624
LAKE,PUDUCHERRY,29,5.6,8,568,0,0.01,2,26,2017,68.5,31.6,123.94935149080624
LAKE,PUNJAB,12,6.2,7.2,244,1.3,0.13,170,210,2017,79.3,20.7,58.00004207424697
LAKE,PUNJAB,11,6,7,232,1.3,0.16,110,220,2017,79.3,20.7,58.00004207424697
LAKE,PUNJAB,11,5.2,7,148,0,0.2,43,70,2017,79.3,20.7,58.00004207424697
LAKE,RAJASTHAN,8,5.4,7.6,350,0.4,1.6,4,20,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,9,5.1,7.8,450,1.5,1.34,9,20,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,19,4.4,7.2,320,1,1.2,4,11,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,8,6.4,7.8,490,1.2,1.5,7,11,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,15,4,7,270,0.9,0.84,4,7,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,9,4.5,7,160,1,0,3,7,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,18,4.5,6.9,310,1.2,1.14,4,11,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,18,6.9,8.5,320,1,1.84,4,20,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,16,5.8,7.2,190,0.9,0,3,4,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,20.2,4.7,7.8,420,1,0.54,4,11,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,20.2,4.6,7.9,410,0.9,0.42,7,11,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,7,4.6,7.4,580,1.7,0.98,4,23,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,7,7.5,7.7,440,1.2,1.1,7,20,2017,34.9,65.0,63.092227605732575
LAKE,RAJASTHAN,7,7.1,7.8,430,1.5,1.14,7,11,2017,34.9,65.0,63.092227605732575
