Type Water Body,State Name,Min Temperature,Min Dissolved Oxygen,Min pH,Min Conductivity,Min BOD,Min_Nitrate_Nitrite,Min Fecal Coliform,Min Total Coliform,Year,Toilet_Access,Open_Defecation,Rainfall,Risk_Level
POND,ASSAM,19,3.7,6.7,282,2.8,1.6,700.0,360,2017,65.0,35.1,201.04888299368932,HIGH
POND,ASSAM,21,4.5,6.2,122,2.4,0.7,300.0,730,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,22,1.9,6.6,190,4.2,0.7,300.0,910,2017,65.0,35.1,201.04888299368932,HIGH
POND,ASSAM,22,5.2,5.5,26,1.6,0.7,300.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,23,3.9,6.7,50,2.2,0.3,300.0,300,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,23,4.5,6.1,24,1.0,0.1,300.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,22,4.7,6.4,27,1.4,1,300.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,23,4.6,6.7,31,1.1,0.8,300.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,22,4.7,6.7,63,2.8,0.2,300.0,300,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,17,5.3,6.1,24,1.7,0.1,300.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,17,4.7,6.6,17,1.5,0.3,360.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,20,5.3,6.2,32,1.6,0.1,360.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,21,4.5,6.4,26,2.2,1.1,300.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
POND,ASSAM,24,4,6.8,280,3.4,0.8,300.0,910,2017,65.0,35.1,201.04888299368932,HIGH
POND,ASSAM,20,4,7.1,136,3.0,0.3,360.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
TANK,ASSAM,18,5.2,5.9,21,1.4,0.1,300.0,360,2017,65.0,35.1,201.04888299368932,MEDIUM
LAKE,BIHAR,18,6.2,7,275,2.1,0,2100.0,3100,2017,23.1,76.9,82.7820908082079,HIGH
POND,BIHAR,18,6.4,7.4,308,2.3,0,1700.0,2700,2017,23.1,76.9,82.7820908082079,HIGH
LAKE,CHANDIGARH,14,5.1,6.7,137,3.0,0.28,2.0,2,2017,87.69999999999999,12.4,93.977511675,LOW
LAKE,CHHATTISGARH,25,5.8,7,290,2.0,0,130.0,260,2017,24.7,75.4,109.70690853628008,MEDIUM
POND,CHHATTISGARH,25,6.4,7.2,290,2.0,0,130.0,460,2017,24.7,75.4,109.70690853628008,MEDIUM
LAKE,GOA,26,6.1,6.3,42,0.0,0,8.0,2,2017,79.7,20.3,256.42437126887506,LOW
LAKE,GOA,26.5,4.4,5.2,38,0.5,0,220.0,260,2017,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,27,6.1,6.2,43,0.4,0.01,8.0,2,2017,79.7,20.3,256.42437126887506,LOW
LAKE,GOA,25.3,1.9,6.3,98,0.6,0.03,780.0,1100,2017,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,23.3,2.8,6.4,63,1.0,0,110.0,140,2017,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,26.5,4.7,6,72,1.0,0,200.0,450,2017,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GOA,26,1.5,5,78,0.9,0,130.0,230,2017,79.7,20.3,256.42437126887506,MEDIUM
LAKE,GUJARAT,25,4.2,8.4,2308,30.0,0.19,9.0,48,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,25,2.6,7.5,349,5.0,0.09,5.0,58,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,22,7.6,7.2,223,0.2,0.04,2.0,4,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,25,1.6,6.7,2630,0.8,0.08,4.0,11,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,26,5,7.7,298,5.0,0.1,5.0,21,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,21,3.4,7.3,146,4.1,0.03,4.0,9,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,22,4.1,6.6,420,4.1,0.01,2.0,2,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,22,3.8,6.7,360,3.1,0,7.0,14,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,23,2.5,8.5,619,1.9,0.24,4.0,21,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,29,4.1,7.7,122,0.4,0,4.0,11,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,26,5.2,7.5,226,1.5,0.04,2.0,2,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,26,7,7.7,229,1.0,0.06,8.0,26,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,27,6.1,7.3,300,1.0,0,12.0,38,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,24,5.7,7,209,1.1,0,7.0,14,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,24,5.3,7.4,344,0.7,0.07,2.0,2,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,24,2,7.3,325,0.7,0.04,4.0,11,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,24,1.2,7,457,0.7,0.71,4.0,7,2017,57.4,42.7,90.42157862604014,LOW
LAKE,GUJARAT,27,0.5,8.4,1884,21.0,0.18,11.0,43,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,26,1.6,8.6,2354,17.0,0.18,7.0,26,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,GUJARAT,26,2.1,7.4,190,1.2,0,2.0,11,2017,57.4,42.7,90.42157862604014,LOW
POND,GUJARAT,25,5.1,7.1,360,1.1,0.01,26.0,94,2017,57.4,42.7,90.42157862604014,LOW
POND,GUJARAT,24,6,4.6,326,0.9,0.03,17.0,41,2017,57.4,42.7,90.42157862604014,LOW
TANK,GUJARAT,26,4.2,7.4,221,6.0,0.05,2.0,11,2017,57.4,42.7,90.42157862604014,MEDIUM
LAKE,HARYANA,25,5.7,6.9,165,0.8,0,170.0,840,2017,68.6,31.4,60.14914662266175,LOW
LAKE,HARYANA,25,5.8,7.1,281,2.4,0,200.0,1480,2017,68.6,31.4,60.14914662266175,MEDIUM
LAKE,HIMACHAL PRADESH,10,7.5,7.7,176,0.2,0.1,27.0,220,2017,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,13.5,6.3,7.4,172,0.1,0.04,5.0,170,2017,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,13,5.3,6.4,719,1.2,0.24,21.0,33,2017,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,12,4.5,7.2,190,2.0,0,94.0,540,2017,69.1,30.9,91.06631499593747,LOW
LAKE,HIMACHAL PRADESH,7.9,5.9,6.8,69,2.8,0,17.0,540,2017,69.1,30.9,91.06631499593747,LOW
LAKE,JAMMU & KASHMIR,3.6,5.2,7.2,112,1.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,10,6.9,7.3,154,2.3,0.01,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,10,6.1,7.6,156,2.4,0.11,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,9,6.4,7.4,156,9.0,0.02,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,9,6.2,7.7,145,6.0,0.02,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,3.2,2,7.1,110,1.1,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,3.5,5.7,7.4,114,1.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,2.5,2.2,7.2,119,3.8,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,3.5,6.5,7.3,120,1.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,7.5,5,7.2,119,1.3,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,5.2,4.8,7.2,239,3.5,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,6,5,7.2,188,3.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,5.4,4.5,7.2,168,2.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,3.3,6.2,7.4,130,1.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,4.4,5.1,7.3,103,1.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,4.8,5.6,7.3,117,1.4,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,6.5,3.6,7.6,110,1.3,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,6,2,7.5,120,2.0,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,6,3,7.4,115,1.6,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JAMMU & KASHMIR,5.8,4.3,7.4,120,1.8,0.13,130.0,300,2017,51.2,48.8,88.19377632735228,MEDIUM
LAKE,JHARKHAND,17,6.9,7.2,290,1.0,0.13,130.0,300,2017,22.1,78.0,78.49253247751737,MEDIUM
LAKE,JHARKHAND,11.5,7.5,6.7,210,0.2,0.6,130.0,300,2017,22.1,78.0,78.49253247751737,MEDIUM
POND,JHARKHAND,23,3,7.7,340,2.7,0.13,130.0,300,2017,22.1,78.0,78.49253247751737,MEDIUM
LAKE,KARNATAKA,28,4.2,7.4,410,3.0,0.55,330.0,1090,2017,51.2,48.8,114.7101609431186,MEDIUM
LAKE,KARNATAKA,23,4,7.6,496,2.0,0.24,330.0,2100,2017,51.2,48.8,114.7101609431186,MEDIUM
LAKE,KARNATAKA,21,4.2,6.8,282,4.0,0.7,210.0,1720,2017,51.2,48.8,114.7101609431186,HIGH
LAKE,KARNATAKA,27,4.2,6.9,330,3.0,0.41,270.0,1090,2017,51.2,48.8,114.7101609431186,MEDIUM
LAKE,KARNATAKA,25.1,3.7,6.2,425,3.0,1,700.0,2210,2017,51.2,48.8,114.7101609431186,HIGH
LAKE,KARNATAKA,25,5,6.4,588,2.0,1,270.0,2210,2017,51.2,48.8,114.7101609431186,MEDIUM
LAKE,KARNATAKA,23,2.5,7,224,3.0,0.38,110.0,1200,2017,51.2,48.8,114.7101609431186,MEDIUM
LAKE,KARNATAKA,24,5.4,6.8,121,3.0,0.18,170.0,1090,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,23,6.4,7.1,255,2.0,0,240.0,900,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,26,5.8,8.4,1257,2.0,0,1000.0,3200,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,23,6,7.1,298,2.0,0,240.0,900,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,28,6,6.7,133,1.0,0.18,2.0,5,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,21,4,6.5,380,3.0,0.45,490.0,2400,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,28,4.6,6.7,430,3.0,0.8,330.0,700,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,25,0.4,6.7,1442,5.0,2.02,330.0,1410,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,25,3.5,6.7,304,3.0,0,330.0,790,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,28,2.4,5.9,724,4.0,0.76,490.0,790,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,23.8,2.6,6.5,286,3.0,0.6,220.0,1300,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,24.6,2.2,6.5,461,4.0,1.05,140.0,1090,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,24,4.7,6.6,195,3.0,0,490.0,790,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,24,2.1,6.6,365,3.0,0.27,210.0,2400,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,24,6.7,7.9,10,3.0,0.2,390.0,2100,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,24,6.8,7.9,10,4.2,0.23,940.0,2800,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,24,6.2,7.6,620,3.0,0.14,270.0,2800,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,25,5.1,7.6,440,3.0,0.13,270.0,2200,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,25,5.4,7.7,400,2.0,0.12,210.0,2200,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,26,6,7.2,992,11.0,0,240.0,900,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,25,6.7,7.4,460,0.5,0.8,110.0,170,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,24,5.3,7.5,340,1.0,0.16,900.0,1600,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,24,1.4,6.5,480,16.5,0.48,1800.0,3200,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,24,5.8,8.1,400,2.2,0.58,560.0,1600,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,25,3.1,6.9,530,23.1,0.51,275.0,1800,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,26,7.1,7.7,972,3.2,0.48,70.0,175,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,26,6.1,7.6,830,4.4,0.86,20.0,110,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,26,7,7.2,560,3.0,0.33,17.0,80,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,25,6.1,7.6,696,3.4,0.31,50.0,140,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,27,6.3,7.3,566,3.9,0.25,25.0,140,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,25,5.9,7.3,778,4.7,0.12,130.0,550,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,26,6.6,7.6,1213,3.6,0.69,110.0,350,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,25,5.9,7.2,90,2.0,0,50.0,140,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,25,5.6,7.1,120,2.3,0,60.0,170,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,26,5.5,7.6,130,2.5,0,460.0,1400,2017,51.2,48.8,114.7101609431186,MEDIUM
TANK,KARNATAKA,25,5.3,7.1,140,3.0,0,800.0,2400,2017,51.2,48.8,114.7101609431186,HIGH
TANK,KARNATAKA,24.5,2,7.7,350,5.0,0,1100.0,3000,2017,51.2,48.8,114.7101609431186,HIGH
LAKE,KERALA,30,4,6.6,387,3.0,0,650.0,1640,2017,95.2,4.8,204.51389967533927,MEDIUM
LAKE,KERALA,24,4.3,6.5,110,1.0,0.28,100.0,220,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,20,5.7,6.8,18796,1.4,0.43,160.0,480,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,23,5.3,6.9,20100,1.2,0.41,120.0,400,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,27,3.2,6.7,1229,0.6,0.24,310.0,760,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,26,1.5,6.7,34,0.1,0,2.0,2,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,27,4.5,6.8,1655,0.7,0.23,400.0,470,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,28,3.2,7.2,1126,0.9,0,100.0,240,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,26,3.8,6.8,168,1.0,0.05,140.0,240,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,27.1,5.1,6.3,25,0.5,0.05,4.0,8,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,26,4.8,6.9,182,0.7,0.05,100.0,200,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,24,5.5,6.5,35,0.2,0.06,4.0,40,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,27,1.2,7,89,0.5,0.03,2.0,2,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,26,6.6,6.5,22,0.7,0.02,150.0,4,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,27,6.7,6.5,20,0.4,0.01,2.0,17,2017,95.2,4.8,204.51389967533927,LOW
LAKE,KERALA,30,5.9,6.2,98,0.5,0,220.0,620,2017,95.2,4.8,204.51389967533927,LOW
POND,KERALA,30,5.9,6.6,79,1.3,0,110.0,320,2017,95.2,4.8,204.51389967533927,LOW
POND,KERALA,21,5.5,7,77,0.0,0,2.0,2,2017,95.2,4.8,204.51389967533927,LOW
POND,LAKSHADWEEP,"28.7 
34.1","7.2 
9.7",7.1,290,2.0,0.13,130.0,300,2017,97.8,2.2,0.0,LOW
LAKE,MADHYA PRADESH,18,7.5,7.6,223,1.5,0,2.0,90,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,18,6.2,7.4,336,3.1,0,20.0,190,2017,28.8,71.2,100.88792696471856,HIGH
LAKE,MADHYA PRADESH,2.9,7.2,7.4,176,1.2,0,2.0,90,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,18.8,7.2,7.1,142,0.7,0.3,2.0,17,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,18,6.3,7.2,173,0.8,0.3,2.0,21,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,23,6.1,7.5,410,1.8,0,130.0,300,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,19,4.8,7.5,499,1.1,0.73,2.0,33,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,19,4.6,7.3,371,1.2,0.43,2.0,40,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,19,3.9,7.7,330,1.2,0.89,2.0,23,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,21,6.4,7.2,294,1.4,0.78,2.0,40,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,24,6.5,7.2,0,1.2,1.55,2.0,21,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,19,5.5,7.3,526,3.1,0,12.0,920,2017,28.8,71.2,100.88792696471856,HIGH
LAKE,MADHYA PRADESH,19,7.5,7.5,218,1.5,0,2.0,94,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,21,7.5,7.5,211,1.7,0,2.0,90,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,17,7.3,7.8,228,1.5,0,2.0,90,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,6,6.9,7.6,193,1.2,0,2.0,34,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,18,7.1,7.5,160,2.1,0,2.0,90,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,20,6.1,5.6,390,2.0,0,130.0,300,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MADHYA PRADESH,20,6.4,7.8,308,1.0,0,2.0,40,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,22,4.6,7.1,552,2.4,0.84,9.0,7,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,24,7,7.5,280,2.0,0,4.0,34,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,18,6.9,7.1,360,3.1,0.3,2.0,46,2017,28.8,71.2,100.88792696471856,HIGH
POND,MADHYA PRADESH,19,3.7,6.5,320,3.2,0.3,10.0,63,2017,28.8,71.2,100.88792696471856,HIGH
POND,MADHYA PRADESH,16,4.1,7.4,350,1.9,0.3,2.0,46,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,19,2.6,7.6,8,1.4,0.95,2.0,50,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,22.6,6.1,7.2,10,1.3,1.41,2.0,21,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,19,6.4,7.4,270,1.2,0.08,2.0,8,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,18,6.2,7.1,382,2.8,0.34,2.0,41,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,19,6.3,7.2,270,2.0,0.34,2.0,40,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,20,6.3,7.7,270,0.8,0,2.0,33,2017,28.8,71.2,100.88792696471856,MEDIUM
POND,MADHYA PRADESH,22,4.7,7.5,373,1.2,0.63,2.0,50,2017,28.8,71.2,100.88792696471856,MEDIUM
LAKE,MANIPUR,20.1,6.3,7.5,265,2.0,0,130.0,250,2017,89.2,10.7,119.98234118429689,LOW
LAKE,MANIPUR,20.2,6.4,7,310,2.1,0,130.0,100,2017,89.2,10.7,119.98234118429689,LOW
LAKE,MANIPUR,20.3,6.2,6.9,260,1.1,0,130.0,130,2017,89.2,10.7,119.98234118429689,LOW
LAKE,MANIPUR,21,6,6.8,270,1.3,0,130.0,140,2017,89.2,10.7,119.98234118429689,LOW
LAKE,MANIPUR,21,5,3.1,2,1.0,0,130.0,240,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21.2,7.3,2.2,200,1.4,0,130.0,119,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21.2,6.9,7,196,1.0,0,130.0,116,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,22,6.3,7.1,201,1.8,0,130.0,135,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21.3,6.4,6.9,320,1.6,0,130.0,125,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21.4,6.1,6.8,350,1.6,0,130.0,45,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,20.4,6,6.7,50,1.9,0,130.0,69,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,20.3,5.7,6.7,200,1.0,0,130.0,30,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21,5.7,6.9,290,1.2,0,130.0,35,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21,6,7,120,1.1,0,130.0,40,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21.1,6,7,110,1.2,0,130.0,35,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,21.5,5.8,6.3,7,1.2,0,130.0,40,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,20.9,5,6.9,430,1.2,0,130.0,45,2017,89.2,10.7,119.98234118429689,LOW
POND,MANIPUR,20.9,6.1,6.1,450,1.0,0,130.0,40,2017,89.2,10.7,119.98234118429689,LOW
LAKE,MEGHALAYA,16,5,6.9,8,3.8,0.35,1200.0,2600,2017,63.0,37.1,397.82883806589393,HIGH
LAKE,MEGHALAYA,13,6,6.9,132,2.5,0.22,610.0,2200,2017,63.0,37.1,397.82883806589393,HIGH
LAKE,MEGHALAYA,15,6.4,6.9,38,1.5,0.02,8.0,24,2017,63.0,37.1,397.82883806589393,MEDIUM
LAKE,MEGHALAYA,16,3.5,6.8,83,4.2,0.25,1400.0,3300,2017,63.0,37.1,397.82883806589393,HIGH
LAKE,MEGHALAYA,12,4.4,7.1,75,3.5,0.3,1100.0,2400,2017,63.0,37.1,397.82883806589393,HIGH
LAKE,MEGHALAYA,16,5.6,6.9,74,3.2,0.11,1100.0,2300,2017,63.0,37.1,397.82883806589393,HIGH
LAKE,MEGHALAYA,15,0.3,6.7,48,1.5,0.28,6.0,14,2017,63.0,37.1,397.82883806589393,MEDIUM
LAKE,MIZORAM,22,7.7,7.2,114,0.9,0.04,130.0,300,2017,92.0,8.1,142.21441254978126,LOW
POND,MIZORAM,18,4.4,7.2,200,0.9,0.06,130.0,300,2017,92.0,8.1,142.21441254978126,LOW
POND,MIZORAM,20,3.5,7.1,117,1.8,0.04,130.0,300,2017,92.0,8.1,142.21441254978126,LOW
